,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Tucuman,CCGT,CCGT,PP,AR,1302.0,,,0.0,0.0,0.0,1999.0,1999.0,2039.0,-26.9935,-65.1684,"{nan, nan, nan}","{'GGPT': {'L406460'}, 'GEO': {'GEO-42279', 'GEO-42278', 'GEO-42277'}, 'GPD': {'ARG0000342', 'ARG0000341'}}",143
1,Patagonia,CCGT,CCGT,PP,AR,125.0,,,0.0,0.0,0.0,2009.0,2009.0,2049.0,-45.7926,-67.5139,{nan},"{'GGPT': {'L406455'}, 'GEO': {'GEO-42251'}, 'GPD': {'ARG0000078'}}",771
2,Yacyreta,Hydro,Reservoir,PP,AR,3100.0,,,0.0,0.0,0.0,1994.0,2005.0,2105.0,-27.4823,-56.7212,{nan},"{'GHPT': {'G604100'}, 'GEO': {'GEO-42225'}, 'GPD': {'ARG0000136'}}",133
3,Termoandes,CCGT,CCGT,PP,AR,643.0,,,0.0,0.0,0.0,1999.0,1999.0,2039.0,-24.744,-65.0519,{nan},"{'GGPT': {'L406467'}, 'GEO': {'GEO-42264'}, 'GPD': {'ARG0000274'}}",242
4,Agua Del Cajon,CCGT,CCGT,PP,AR,672.0,,,0.0,0.0,0.0,2000.0,2000.0,2040.0,-38.9362,-68.357,{nan},"{'GGPT': {'L406424'}, 'GEO': {'GEO-42231'}, 'GPD': {'ARG0000232'}}",281
5,De Julio,CCGT,CCGT,PP,AR,102.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-38.04964758,-57.54552673,"{nan, nan}","{'GGPT': {'L407730'}, 'GEO': {'GEO-42254'}, 'GPD': {'ARG0000007'}}",204
6,Puerto,CCGT,CCGT,PP,AR,1747.0,,,0.0,0.0,0.0,1961.0,1961.0,2001.0,-34.5717956,-58.3844887,"{nan, nan, nan, nan, nan, nan}","{'GGPT': {'L406454'}, 'GEO': {'GEO-42246', 'GEO-42245'}, 'GPD': {'ARG0000044'}}",26
7,Brigadier Lopez,CCGT,CCGT,PP,AR,280.0,,,0.0,0.0,0.0,2012.0,2012.0,2052.0,-31.71091,-60.7806,{nan},"{'GGPT': {'L406433'}, 'GEO': {'GEO-45390'}, 'GPD': {'ARG0000311'}}",839
8,Guemes,CCGT,CCGT,PP,AR,361.0,0.3507202216066482,,0.0,0.0,0.0,1983.0,2007.0,2047.0,-24.6893,-65.042,"{nan, nan, nan, nan}","{'GGPT': {'L406442'}, 'GEO': {'GEO-42234'}, 'GPD': {'ARG0000287'}}",514
9,Loma De La Lata,CCGT,CCGT,PP,AR,765.0,,,0.0,0.0,0.0,2011.0,2008.0,2051.0,-38.5127,-68.6061,"{nan, nan, nan}","{'GGPT': {'L406447'}, 'GEO': {'GEO-42232'}, 'GPD': {'ARG0000259'}}",934
10,Dock Sud,CCGT,CCGT,PP,AR,898.0,,,0.0,0.0,0.0,2001.0,2001.0,2041.0,-34.6529,-58.3419,"{nan, nan, nan}","{'GGPT': {'L406435'}, 'GEO': {'GEO-42219'}, 'GPD': {'ARG0000158'}}",224
11,Rio Grande,Hydro,Pumped Storage,Store,AR,750.0,,,0.0,0.0,0.0,1986.0,1986.0,2086.0,-32.224,-64.5673,{nan},"{'GHPT': {'G600040'}, 'GEO': {'GEO-42252'}, 'GPD': {'ARG0000104'}}",91
12,Costanera,CCGT,CCGT,PP,AR,2304.0,,,0.0,0.0,0.0,1963.0,1963.0,2003.0,-34.6254,-58.3392,"{nan, nan, nan, nan, nan, nan, nan, nan}","{'GGPT': {'L406430'}, 'GEO': {'GEO-42244', 'GEO-42242', 'GEO-42243'}, 'GPD': {'ARG0000046'}}",224
13,Roca,CCGT,CCGT,PP,AR,190.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-38.9459958,-67.6029887,{nan},"{'GGPT': {'L406461'}, 'GEO': {'GEO-42280'}, 'GPD': {'ARG0000262'}}",334
14,Timbues,CCGT,CCGT,PP,AR,865.0,0.18666666666666668,,0.0,0.0,0.0,2010.0,2010.0,2050.0,-32.577915,-60.790519,{nan},"{'GGPT': {'L406673'}, 'GEO': {'GEO-42275'}, 'GPD': {'ARG0000307'}}",155
15,Lujan De Cuyo,CCGT,CCGT,PP,AR,521.0,,,0.0,0.0,0.0,1970.0,1970.0,2010.0,-33.0556436,-68.9825879,"{nan, nan, nan, nan}","{'GGPT': {'L406449'}, 'GEO': {'GEO-42247'}, 'GPD': {'ARG0000198'}}",168
16,Genelba,CCGT,CCGT,PP,AR,1254.0,,,0.0,0.0,0.0,1999.0,1999.0,2039.0,-34.9022,-58.7333,"{nan, nan}","{'GGPT': {'L406439'}, 'GEO': {'GEO-42257'}, 'GPD': {'ARG0000165', 'ARG0000166'}}",6
17,Sorrento,CCGT,CCGT,PP,AR,140.0,,,0.0,0.0,0.0,1981.0,1981.0,2021.0,-32.905,-60.6805,{nan},"{'GGPT': {'L406468'}, 'GEO': {'GEO-42258'}, 'GPD': {'ARG0000313'}}",237
18,Modesto Maranzana,CCGT,CCGT,PP,AR,393.0,,,0.0,0.0,0.0,2008.0,2008.0,2048.0,-33.1607,-64.3649,"{nan, nan, nan, nan, nan, nan, nan}","{'GGPT': {'L406451'}, 'GEO': {'GEO-42265'}, 'GPD': {'ARG0000111'}}",30
19,San Nicolas,Hard Coal,Steam Turbine,PP,AR,375.0,,,0.0,0.0,0.0,1983.0,1983.0,2028.0,-33.3549196,-60.1729168,{nan},"{'GCPT': {'G108783'}, 'GGPT': {'L100002'}, 'GPD': {'ARG0000002'}}",52
